country,date,confirmed,deaths,recovered,remaining_confirmed
Iran,2020-02-19,2,2,0,0
Iran,2020-02-20,5,2,0,3
Iran,2020-02-21,18,4,0,14
Iran,2020-02-22,28,5,0,23
Iran,2020-02-23,43,8,0,35
Iran,2020-02-24,61,12,0,49
Iran,2020-02-25,95,16,0,79
Iran,2020-02-26,139,19,49,71
Iran,2020-02-27,245,26,49,170
Iran,2020-02-28,388,34,73,281
Iran,2020-02-29,593,43,123,427
Iran,2020-03-01,978,54,175,749
Iran,2020-03-02,1501,66,291,1144
Iran,2020-03-03,2336,77,291,1968
Iran,2020-03-04,2922,92,552,2278
Iran,2020-03-05,3513,107,739,2667
Iran,2020-03-06,4747,124,913,3710
Iran,2020-03-07,5823,145,1669,4009
Iran,2020-03-08,6566,194,2134,4238
Iran,2020-03-09,7161,237,2394,4530
Iran,2020-03-10,8042,291,2731,5020
Iran,2020-03-11,9000,354,2959,5687
Iran,2020-03-12,10075,429,2959,6687
Iran,2020-03-13,11364,514,2959,7891
Iran,2020-03-14,12729,611,2959,9159
Iran,2020-03-15,13938,724,4590,8624
Iran,2020-03-16,14991,853,4590,9548
