country,date,confirmed,deaths,recovered
Iran,2020-02-19,2,2,0
Iran,2020-02-20,5,2,0
Iran,2020-02-21,18,4,0
Iran,2020-02-22,28,5,0
Iran,2020-02-23,43,8,0
Iran,2020-02-24,61,12,0
Iran,2020-02-25,95,16,0
Iran,2020-02-26,139,19,49
Iran,2020-02-27,245,26,49
Iran,2020-02-28,388,34,73
Iran,2020-02-29,593,43,123
Iran,2020-03-01,978,54,175
Iran,2020-03-02,1501,66,291
Iran,2020-03-03,2336,77,291
Iran,2020-03-04,2922,92,552
Iran,2020-03-05,3513,107,739
Iran,2020-03-06,4747,124,913
Iran,2020-03-07,5823,145,1669
Iran,2020-03-08,6566,194,2134
Iran,2020-03-09,7161,237,2394
Iran,2020-03-10,8042,291,2731
Iran,2020-03-11,9000,354,2959
Iran,2020-03-12,10075,429,2959
Iran,2020-03-13,11364,514,2959
Iran,2020-03-14,12729,611,2959
Iran,2020-03-15,13938,724,4590
Iran,2020-03-16,14991,853,4590
Iran,2020-03-17,16169,988,5389
Iran,2020-03-18,17361,1135,5389
Iran,2020-03-19,18407,1284,5710
Iran,2020-03-20,19644,1433,6745
Iran,2020-03-21,20610,1556,7635
Iran,2020-03-22,21638,1685,7931
Iran,2020-03-23,23049,1812,7931
Iran,2020-03-24,24811,1934,8913
Iran,2020-03-25,27017,2077,9625
Iran,2020-03-26,29406,2234,10457
Iran,2020-03-27,32332,2378,11133
Iran,2020-03-28,35408,2517,11679
Iran,2020-03-29,38309,2640,12391
