date,country,confirmed,deaths,recovered
2020-01-22,World,555,17,28
2020-01-23,World,654,18,30
2020-01-24,World,941,26,36
2020-01-25,World,1434,42,39
2020-01-26,World,2118,56,52
2020-01-27,World,2927,82,61
2020-01-28,World,5578,131,107
2020-01-29,World,6166,133,126
2020-01-30,World,8234,171,143
2020-01-31,World,9927,213,222
2020-02-01,World,12038,259,284
2020-02-02,World,16787,362,472
2020-02-03,World,19881,426,623
2020-02-04,World,23892,492,852
2020-02-05,World,27635,564,1124
2020-02-06,World,30794,634,1487
2020-02-07,World,34391,719,2011
2020-02-08,World,37120,806,2616
2020-02-09,World,40150,906,3244
2020-02-10,World,42762,1013,3946
2020-02-11,World,44802,1113,4683
2020-02-12,World,45221,1118,5150
2020-02-13,World,60368,1371,6295
2020-02-14,World,66885,1523,8058
2020-02-15,World,69030,1666,9395
2020-02-16,World,71224,1770,10865
2020-02-17,World,73258,1868,12583
2020-02-18,World,75136,2007,14352
2020-02-19,World,75639,2122,16121
2020-02-20,World,76197,2247,18177
2020-02-21,World,76819,2251,18890
2020-02-22,World,78572,2458,22886
2020-02-23,World,78958,2469,23394
2020-02-24,World,79561,2629,25227
2020-02-25,World,80406,2708,27905
2020-02-26,World,81388,2770,30384
2020-02-27,World,82746,2814,33277
2020-02-28,World,84112,2872,36711
2020-02-29,World,86011,2941,39782
2020-03-01,World,88369,2996,42716
2020-03-02,World,90306,3085,45602
2020-03-03,World,92840,3160,48228
2020-03-04,World,95120,3254,51170
2020-03-05,World,97886,3348,53796
2020-03-06,World,101801,3460,55865
2020-03-07,World,105847,3558,58358
2020-03-08,World,109821,3802,60694
2020-03-09,World,113590,3988,62494
2020-03-10,World,118620,4262,64404
2020-03-11,World,125875,4615,67003
2020-03-12,World,128352,4720,68324
2020-03-13,World,145205,5404,70251
2020-03-14,World,156101,5819,72624
2020-03-15,World,167454,6440,76034
2020-03-16,World,181574,7126,78088
2020-03-17,World,197102,7905,80840
2020-03-18,World,214821,8733,83312
2020-03-19,World,242570,9867,84975
2020-03-20,World,272208,11299,87420
2020-03-21,World,304507,12973,91692
2020-03-22,World,336953,14651,97899
2020-03-23,World,378231,16505,98351
2020-03-24,World,418041,18625,108000
2020-03-25,World,467653,21181,113787
2020-03-26,World,529591,23970,122150
2020-03-27,World,593291,27198,130915
2020-03-28,World,660693,30652,139415
2020-03-29,World,720140,33925,149082
2020-03-30,World,782389,37582,164566
2020-03-31,World,857487,42107,178034
2020-04-01,World,932605,47180,193177
2020-04-02,World,1013466,52983,210263
2020-04-03,World,1095917,58787,225796
2020-04-04,World,1176060,64606,246152
2020-04-05,World,1249754,69374,260012
2020-04-06,World,1321481,74565,276515
2020-04-07,World,1396476,81937,300054
2020-04-08,World,1480202,88338,328661
2020-04-09,World,1565278,95521,353975
2020-04-10,World,1657526,102525,376096
2020-04-11,World,1735650,108502,402110
2020-04-12,World,1834721,114090,421722
2020-04-13,World,1904838,119481,448655
2020-04-14,World,1976191,125983,474261
2020-04-15,World,2056054,134176,511019
2020-04-16,World,2152646,143800,542107
2020-04-17,World,2240190,153821,568343
2020-04-18,World,2317758,159509,592319
